Frame,Time,X (cm),Y (cm),Z (cm)
820.0,2.73,21.8284,41.7693,42.7316
821.0,2.73333,21.7936,41.8629,42.9013
822.0,2.73667,21.7786,41.9373,43.0445
823.0,2.74,21.756700000000002,42.0284,43.203500000000005
824.0,2.74333,21.735,42.1145,43.368
825.0,2.74667,21.7117,42.2008,43.5189
826.0,2.75,21.6959,42.2769,43.6731
827.0,2.75333,21.6689,42.3685,43.8341
828.0,2.75667,21.6518,42.443799999999996,43.9911
829.0,2.76,21.6332,42.5424,44.156
830.0,2.76333,21.604499999999998,42.6261,44.304500000000004
831.0,2.76667,21.5932,42.7023,44.4709
832.0,2.77,21.558699999999998,42.7983,44.622699999999995
833.0,2.77333,21.5488,42.8776,44.785000000000004
834.0,2.77667,21.5181,42.961,44.939499999999995
835.0,2.78,21.506899999999998,43.0459,45.102
836.0,2.78333,21.4955,43.132,45.2639
837.0,2.78667,21.4756,43.2055,45.4058
838.0,2.79,21.457900000000002,43.292899999999996,45.5864
839.0,2.79333,21.430600000000002,43.3812,45.734500000000004
840.0,2.79667,21.425,43.4563,45.8909
841.0,2.8,21.3958,43.541399999999996,46.0552
842.0,2.80333,21.3862,43.6223,46.2138
843.0,2.80667,21.3724,43.71,46.3705
844.0,2.81,21.3528,43.7904,46.5312
845.0,2.81333,21.3357,43.8601,46.699400000000004
846.0,2.81667,21.3139,43.953199999999995,46.839
847.0,2.82,21.3122,44.0332,47.0109
848.0,2.82333,21.2957,44.1207,47.1759
849.0,2.82667,21.28,44.1969,47.326499999999996
850.0,2.83,21.2637,44.2772,47.4878
851.0,2.83333,21.238999999999997,44.3448,47.652499999999996
852.0,2.83667,21.224899999999998,44.4306,47.8156
853.0,2.84,21.2077,44.5033,47.9665
854.0,2.84333,21.200200000000002,44.574400000000004,48.1325
855.0,2.84667,21.177500000000002,44.6683,48.2937
856.0,2.85,21.1645,44.7412,48.4496
857.0,2.85333,21.1422,44.8119,48.620400000000004
858.0,2.85667,21.1296,44.8879,48.7689
859.0,2.86,21.1147,44.9644,48.9331
860.0,2.86333,21.109299999999998,45.0443,49.0994
861.0,2.86667,21.0957,45.1185,49.258300000000006
862.0,2.87,21.0821,45.1964,49.418
863.0,2.87333,21.0745,45.2698,49.5803
864.0,2.87667,21.0464,45.3483,49.7444
865.0,2.88,21.036,45.4163,49.904700000000005
866.0,2.88333,21.0332,45.5015,50.064499999999995
867.0,2.88667,21.0155,45.5751,50.2216
868.0,2.89,21.0129,45.650099999999995,50.388400000000004
869.0,2.89333,20.9898,45.7214,50.5497
870.0,2.89667,20.9857,45.7889,50.7087
871.0,2.9,20.970599999999997,45.8629,50.8735
872.0,2.90333,20.963,45.9353,51.0395
873.0,2.90667,20.9534,46.0016,51.1971
874.0,2.91,20.9435,46.0848,51.358799999999995
875.0,2.91333,20.9372,46.1474,51.5197
876.0,2.91667,20.9174,46.2221,51.6808
877.0,2.92,20.9076,46.291000000000004,51.847500000000004
878.0,2.92333,20.9047,46.3618,52.00359999999999
879.0,2.92667,20.891,46.4333,52.17229999999999
880.0,2.93,20.8849,46.5055,52.32899999999999
881.0,2.93333,20.8684,46.573899999999995,52.496
882.0,2.93667,20.8614,46.6389,52.658699999999996
883.0,2.94,20.8453,46.716699999999996,52.8187
884.0,2.94333,20.8433,46.7779,52.9851
885.0,2.94667,20.8361,46.8465,53.141200000000005
886.0,2.95,20.822300000000002,46.919799999999995,53.313
887.0,2.95333,20.8185,46.9832,53.4686
888.0,2.95667,20.812,47.0495,53.634
889.0,2.96,20.7971,47.1198,53.7961
890.0,2.96333,20.792099999999998,47.173899999999996,53.96079999999999
891.0,2.96667,20.7862,47.2504,54.1245
892.0,2.97,20.7868,47.314299999999996,54.28920000000001
893.0,2.97333,20.778399999999998,47.3815,54.4505
894.0,2.97667,20.7678,47.452600000000004,54.61559999999999
895.0,2.98,20.764599999999998,47.512299999999996,54.784400000000005
896.0,2.98333,20.7444,47.5753,54.9446
897.0,2.98667,20.7475,47.644600000000004,55.1108
898.0,2.99,20.7437,47.7104,55.269600000000004
899.0,2.99333,20.7349,47.7723,55.446600000000004
900.0,2.99667,20.7273,47.8313,55.598400000000005
